"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.18",286.446881849463,0.0560032627965991,0.554870003521059,0.100930420533129,0.919605694313225,1
"ENSG00000000419.16",822.434700656097,-0.0431099441373261,0.254553580882304,-0.169355088181841,0.865517347597615,1
"ENSG00000000457.16",55.7336514518902,-0.135276945747731,0.453151539366471,-0.298524740612941,0.765302696174874,1
"ENSG00000000460.19",72.6196619215807,-0.40424766135786,0.366278561380224,-1.10366181366051,0.269739866250815,1
"ENSG00000000971.19",29.9457645998604,-0.537311743384736,0.991549141210741,-0.541891189304694,0.587893466717343,1
"ENSG00000001036.16",436.312276237574,-0.0486589152291404,0.202586370028275,-0.240188494528773,0.8101841326881,1
"ENSG00000001084.15",511.015244180871,-1.12934955787451,0.37691480819241,-2.99629925205272,0.00273278106093845,0.0897188066426899
"ENSG00000001167.17",67.420883243904,0.25541294353576,0.371753948661071,0.687048367490564,0.492052249500801,1
"ENSG00000001460.20",227.557968253603,0.448510589284175,0.809340669715737,0.554167862887335,0.579463969923161,1
"ENSG00000001461.21",254.147654831594,-0.197035997731359,0.208167112534868,-0.946527985770832,0.343879355103003,1
"ENSG00000001497.20",404.995370171315,-0.0954648379894577,0.340078079609463,-0.280714470333069,0.778929409129964,1
"ENSG00000001561.9",3.3026060467564,-2.53211859585979,1.61542172666645,-1.56746597749742,0.117005812700709,NA
"ENSG00000001617.14",18.5082010261452,0.133373106577174,0.732928038155511,0.181972990026171,0.855603922808559,1
"ENSG00000001629.12",240.778366592426,0.166819860512631,0.418932570692957,0.398202174246547,0.6904811633905,1
"ENSG00000001630.20",492.581117682417,-0.405059831535413,0.237894390241771,-1.7026876132882,0.0886265441469745,0.85649106633418
"ENSG00000001631.19",370.97715874055,-0.147274344625822,0.270555486599624,-0.544340632218497,0.58620709106531,1
"ENSG00000002016.20",43.0392944497792,0.11103716097157,0.480722324394396,0.230979830427996,0.817330471364434,1
"ENSG00000002330.16",427.200596278675,-0.0972322346255324,0.480512174897213,-0.20235124041619,0.839642144337411,1
"ENSG00000002549.15",564.083981577191,-0.276314887072385,0.666091635674204,-0.414830140890006,0.678266253191677,1
"ENSG00000002586.22",594.368605296135,-0.0297431262336902,0.369782654800273,-0.0804340762001264,0.935892025804107,1
"ENSG00000002587.12",12.7793068261209,-0.0846099408262507,1.0655651790559,-0.0794038154486393,0.936711433936951,1
"ENSG00000002726.23",15.8100376720938,0.267061326059822,0.88809697088951,0.300711898377872,0.763634194915617,1
"ENSG00000002746.17",47.6340449583858,-0.312115152807925,0.95468695977651,-0.32692931396171,0.743721348959511,1
"ENSG00000002822.18",381.340259534039,0.545838585821941,0.273668456906703,1.99452502488449,0.0460947079578638,0.611576682051727
"ENSG00000002834.21",632.216102032116,-0.0353634202496189,0.261035243778927,-0.135473738096334,0.892237326781904,1
"ENSG00000002919.17",70.4917208640173,0.112315394249556,0.465378978543727,0.241341786861571,0.809290226622323,1
"ENSG00000003056.10",1248.80337392151,0.199718163082292,0.224242325611659,0.890635443320198,0.373124778219049,1
"ENSG00000003096.17",56.5826989228297,-0.468286099788742,0.579002737557868,-0.80878045890403,0.418641438235031,1
"ENSG00000003137.10",40.8271567460093,-0.35543724064951,1.02519948905775,-0.346700563590982,0.728816286768291,1
"ENSG00000003147.21",97.8843364963518,0.698182166452222,0.465630088213124,1.49943524726146,0.133760755344729,1
"ENSG00000003249.17",69.0563058362371,0.163995135351785,0.68309651738246,0.240076081752245,0.810271276040392,1
"ENSG00000003393.18",112.125911846799,-0.270061011343414,0.282376915148039,-0.956384877290098,0.338877822177867,1
"ENSG00000003400.18",20.1854295517843,0.329277839955099,0.603740248183936,0.545396535920165,0.585480822409103,1
