"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.18",286.446881849463,-1.11988859273334,0.552924712160287,-2.02539074145903,0.0428272573987293,0.358842624968452
"ENSG00000000419.16",822.434700656097,0.0622018291041544,0.25417220768486,0.244723172807612,0.806670784212049,0.91314356661406
"ENSG00000000457.16",55.7336514518902,0.395316068520538,0.456309261294092,0.866333651435044,0.386307217256656,0.714410943736197
"ENSG00000000460.19",72.6196619215807,-0.360308211858783,0.364575672790424,-0.988294718353043,0.323008331350228,0.679860820571961
"ENSG00000000971.19",29.9457645998604,-3.05143824819284,0.952341286967155,-3.2041436089687,0.00135464888376301,0.0852299327241621
"ENSG00000001036.16",436.312276237574,-0.259030101880463,0.201020451208199,-1.28857586540875,0.19754557834057,0.585792534832572
"ENSG00000001084.15",511.015244180871,-0.743984914590779,0.377009339449613,-1.97338589987427,0.0484516128313344,0.371084899693172
"ENSG00000001167.17",67.420883243904,-0.368503520727704,0.362528919774436,-1.01648034302197,0.30940070347678,0.673937994373298
"ENSG00000001460.20",227.557968253603,0.798844185925914,0.809670614999107,0.986628600726475,0.323824743901187,0.6800126568924
"ENSG00000001461.21",254.147654831594,0.246807578846181,0.211011165850311,1.16964226917387,0.242144959543906,0.624435460741649
"ENSG00000001497.20",404.995370171315,0.360713428583262,0.340223099922134,1.06022615356164,0.289041725524695,0.661543642457448
"ENSG00000001561.9",3.3026060467564,-3.96798357449376,1.51532941253144,-2.61856170788965,0.00883013193251866,NA
"ENSG00000001617.14",18.5082010261452,-0.194912675021887,0.720997909889387,-0.270337364850044,0.786900722107099,0.904395036420069
"ENSG00000001629.12",240.778366592426,-0.0611341930679974,0.417144996094028,-0.146553820950587,0.883484205542438,0.948141675726439
"ENSG00000001630.20",492.581117682417,-0.0497850086945365,0.238269326654125,-0.20894426233388,0.834491750327752,0.925642318622372
"ENSG00000001631.19",370.97715874055,0.13409755690135,0.270405853963621,0.495912181396009,0.619956371365328,0.827488027026155
"ENSG00000002016.20",43.0392944497792,0.794635986202391,0.489836603260318,1.62224705322826,0.104750460471177,0.474306053726976
"ENSG00000002330.16",427.200596278675,0.398093141550438,0.480788680755163,0.828000236871557,0.407670365748007,0.726338215961964
"ENSG00000002549.15",564.083981577191,0.270193129538844,0.666266064443161,0.405533380669269,0.685085486788383,0.856088181325171
"ENSG00000002586.22",594.368605296135,0.330408831201429,0.369871306809328,0.893307550811877,0.371692495477096,0.706868162884842
"ENSG00000002587.12",12.7793068261209,0.0542663120285997,1.06314444745214,0.0510432163368303,0.959291083754005,0.982670222954157
"ENSG00000002726.23",15.8100376720938,0.91394290128613,0.895931102797126,1.02010399955172,0.307679140128143,0.673062812751516
"ENSG00000002746.17",47.6340449583858,0.544905694915129,0.957592941456347,0.569036874986165,0.569331115549894,0.80498482620879
"ENSG00000002822.18",381.340259534039,0.0579006812040804,0.271603910263447,0.213180587672389,0.831186109049288,0.924324587950839
"ENSG00000002834.21",632.216102032116,-0.0594795145974326,0.260553611202087,-0.228281290453119,0.819427568641438,0.919497741132557
"ENSG00000002919.17",70.4917208640173,0.483104278508246,0.466346785249436,1.03593354514033,0.300233146571034,0.667283233081431
"ENSG00000003056.10",1248.80337392151,0.257400896367741,0.224061032083178,1.14879813760827,0.250639227515438,0.630062262630126
"ENSG00000003096.17",56.5826989228297,-1.21383128667389,0.571652951418967,-2.12337097824983,0.033722777163557,0.330513750051409
"ENSG00000003137.10",40.8271567460093,-0.26992707105304,1.02403443177646,-0.263591792108767,0.792094483862351,0.90658502794928
"ENSG00000003147.21",97.8843364963518,1.14204502864251,0.467082708270859,2.44505953318281,0.0144828233251006,0.242026283110014
"ENSG00000003249.17",69.0563058362371,-0.482344021637399,0.678425060506053,-0.71097612649746,0.477099029865041,0.761054060985861
"ENSG00000003393.18",112.125911846799,-0.229308940772353,0.2783201381388,-0.823903517387573,0.409994381695445,0.727511909328884
"ENSG00000003400.18",20.1854295517843,-0.117800190192113,0.583547589518349,-0.20186903743248,0.840019108279054,0.928741485371819
"ENSG00000003402.23",267.652256670191,-0.0188884160620925,0.189705989523123,-0.0995667881102416,0.920688262011475,0.965501373573763
"ENSG00000003436.18",213.116367063017,-1.09075540119862,0.516477478775593,-2.1119128055389,0.0346939288233255,0.334929851332873
"ENSG00000003509.18",255.474202637396,-0.594951324008372,0.317757311734003,-1.87234503200484,0.0611588844528196,0.395164073402607
"ENSG00000003756.19",404.526837257662,-0.232018794094881,0.2769647915707,-0.837719454444283,0.40218828460803,0.724370639399878
"ENSG00000003989.20",186.060209294929,0.109870154240853,0.731949750347295,0.150106143473266,0.880680873113696,0.947102493757057
"ENSG00000004059.13",211.544648956545,0.367577948278798,1.14703398886372,0.320459508477974,0.748620020694103,0.885656236431113
"ENSG00000004139.16",4.65763610027457,-0.269964224991871,1.15138873195634,-0.234468357644225,0.814621395514802,NA
"ENSG00000004142.14",493.562302280805,0.659198534085356,0.283753544198724,2.3231376226395,0.0201717604282526,0.276854124358487
"ENSG00000004399.15",106.627557845191,-0.810568305739097,0.340135860253519,-2.38307217926079,0.0171688276378313,0.259600948017811
"ENSG00000004455.20",1709.2498907928,0.0934091009946519,0.143213821654118,0.652235237603312,0.514249431259337,0.779369672412762
"ENSG00000004468.15",1.16849420854638,2.53261317581476,1.91614984547414,1.32171979232035,0.186261475438289,NA
"ENSG00000004478.10",1125.56319514452,-0.42994564520075,0.25448351421958,-1.68948329136076,0.0911268511984694,0.455331910766075
"ENSG00000004487.20",552.107700633469,0.0538743919598674,0.319665151906159,0.168533828722384,0.866163332797504,0.94149547397549
"ENSG00000004534.17",185.410999291912,-0.00125799044911716,0.184559657785574,-0.00681617241931995,0.994561523375011,0.997741576207545
"ENSG00000004660.17",102.178027874628,0.403553404646502,0.510803600082625,0.790036336042317,0.429506548108469,0.738000246292866
"ENSG00000004700.18",246.815465908793,-1.10493151401925,0.816484867954401,-1.35327861836254,NA,NA
"ENSG00000004766.19",91.9019626205509,0.0152699984510738,0.340629462021026,0.0448287660159332,0.964243796170322,0.984642769889141
"ENSG00000004776.15",5.2208100411748,0.00715948044272124,0.914419406379224,0.00782953685450557,0.993752997250878,NA
"ENSG00000004777.20",29.2453670728902,3.24916502623914,1.25988582656315,2.57893608907608,0.00991051204696667,0.208692393397505
"ENSG00000004779.12",5133.45197623599,0.0108708184570745,0.226813461291871,0.0479284536074584,0.961773262743396,0.983520427576257
"ENSG00000004799.10",55.6851390939334,-1.96912399142229,0.881962701734993,-2.23266129911008,0.0255712884112655,0.303709466461876
"ENSG00000004838.16",6.15001258078215,0.937508637323206,0.998254328146718,0.939148081695486,0.347654720821248,NA
"ENSG00000004846.17",5.84250791559313,-0.554641374373407,1.1211936563648,-0.494688291558569,0.620820167594444,NA
"ENSG00000004864.16",302.264422088825,-0.0784888855300927,0.2176098309197,-0.36068630354782,0.718333964650981,0.870812968497446
"ENSG00000004866.24",154.639476926932,-0.625835055943823,0.398563526108284,-1.57022661369619,0.116362400099005,0.494614096949201
"ENSG00000004897.14",460.047640554141,-0.92940634900082,0.642074603131545,-1.44750523454423,0.147755471439216,0.538527928333639
"ENSG00000004939.17",14.7311043995826,-0.402652128085409,0.539203429901374,-0.746753647615073,0.455212279909532,0.749599923776665
"ENSG00000004961.17",1124.81276743264,-0.0587523085966577,0.178156685090153,-0.329778860484114,0.741567061531803,0.883193492138153
"ENSG00000004975.14",128.036935761261,0.17019147283488,0.639560182521259,0.266107049009767,0.79015676635015,0.905855162460408
"ENSG00000005007.16",616.393940788411,0.273333421865963,0.202735913812323,1.34822398620006,0.177586352071088,0.563279372828683
"ENSG00000005020.15",187.45177450588,0.272636251655985,0.348949890910083,0.781304877169994,0.434623202297211,0.740422489552536
"ENSG00000005022.8",14019.9067291712,-0.150624539140569,0.460345962844858,-0.32719856650797,0.743517705033706,0.883733256304526
