"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.18",286.446881849463,-1.17589185552994,0.553916043220161,-2.12287018930515,0.0337647311275447,0.2805521338128
"ENSG00000000419.16",822.434700656097,0.105311773241481,0.254689743185751,0.413490437126376,0.679247327308954,0.865911891614054
"ENSG00000000457.16",55.7336514518902,0.530593014268269,0.458669348950875,1.15680939980382,0.247350240601037,0.617477944726601
"ENSG00000000460.19",72.6196619215807,0.0439394494990766,0.36647170954626,0.119898612510852,0.904563463603623,0.963141777363651
"ENSG00000000971.19",29.9457645998604,-2.51412650480811,0.972812483355714,-2.58438964119337,0.00975515180952596,0.14806942934986
"ENSG00000001036.16",436.312276237574,-0.210371186651323,0.202081440153603,-1.04102181027322,0.297865425965455,0.65742845167336
"ENSG00000001084.15",511.015244180871,0.385364643283734,0.376070184396062,1.02471469229234,0.305497828485037,0.662146375270035
"ENSG00000001167.17",67.420883243904,-0.623916464263464,0.370886370662335,-1.68223076827887,0.0925240999724169,0.426623435522611
"ENSG00000001460.20",227.557968253603,0.350333596641739,0.810838482254491,0.432063357017363,0.66569536588961,0.858966694842478
"ENSG00000001461.21",254.147654831594,0.44384357657754,0.211995497044264,2.09364624610337,0.0362915046704715,0.289043363677941
"ENSG00000001497.20",404.995370171315,0.45617826657272,0.340930188403385,1.33804010935217,0.180883362216552,0.549860624717813
"ENSG00000001561.9",3.3026060467564,-1.43586497863397,1.27580020151712,-1.12546226041233,0.260393200834628,NA
"ENSG00000001617.14",18.5082010261452,-0.328285781599061,0.732431486938018,-0.448213638345182,0.653999020824626,0.85387709156782
"ENSG00000001629.12",240.778366592426,-0.227954053580628,0.418407081130832,-0.544814043214888,0.585881419199533,0.82172599515394
"ENSG00000001630.20",492.581117682417,0.355274822840877,0.238358424129289,1.49050667765856,0.136091061982848,0.494274134446353
"ENSG00000001631.19",370.97715874055,0.281371901527172,0.271148394406071,1.03770447228166,0.299407662203816,0.658306240198422
"ENSG00000002016.20",43.0392944497792,0.683598825230821,0.494729210456815,1.38176362095056,0.167044292519079,0.533500159378167
"ENSG00000002330.16",427.200596278675,0.495325376175971,0.481176849131794,1.02940400617716,0.303289867358055,0.660409952889517
"ENSG00000002549.15",564.083981577191,0.546508016611229,0.666361526664964,0.820137410012875,0.412137777885499,0.730124812264709
"ENSG00000002586.22",594.368605296135,0.360151957435119,0.370288897315836,0.9726242402778,0.330740090576019,0.679668668025563
"ENSG00000002587.12",12.7793068261209,0.13887625285485,1.06964903808064,0.129833476131617,0.896698176945443,0.960680992272805
"ENSG00000002726.23",15.8100376720938,0.646881575226307,0.906875874551258,0.713307734144321,0.475655352653019,0.76411225260638
"ENSG00000002746.17",47.6340449583858,0.857020847723055,0.959065313496725,0.893600087149832,0.371535899722302,0.706558376710746
"ENSG00000002822.18",381.340259534039,-0.48793790461786,0.274089599126456,-1.78021313531398,0.0750410865355539,0.393391218780393
"ENSG00000002834.21",632.216102032116,-0.0241160943478137,0.261175949878506,-0.0923365813698848,0.926430624774949,0.971872724514922
"ENSG00000002919.17",70.4917208640173,0.37078888425869,0.470116663198067,0.788716744767822,0.430277578881447,0.74050491783726
"ENSG00000003056.10",1248.80337392151,0.0576827332854483,0.224549343173848,0.256882217824124,0.797269698185037,0.917031383538929
"ENSG00000003096.17",56.5826989228297,-0.74554518688515,0.57147451287944,-1.30459919048469,0.19202936407829,0.560576719833733
"ENSG00000003137.10",40.8271567460093,0.08551016959647,1.02460921857497,0.0834563734605058,0.933488665261977,0.974903957453923
"ENSG00000003147.21",97.8843364963518,0.443862862190286,0.472085249867643,0.940217603313661,0.34710595408587,0.690157697523498
"ENSG00000003249.17",69.0563058362371,-0.646339156989184,0.681692422895897,-0.948138977756964,0.343058707587149,0.687364036565481
"ENSG00000003393.18",112.125911846799,0.0407520705710609,0.282541276327114,0.144234042900974,0.885315659645158,0.955661293036664
"ENSG00000003400.18",20.1854295517843,-0.447078030147213,0.598071854117124,-0.74753230246421,0.454742311629956,0.754308285226344
"ENSG00000003402.23",267.652256670191,-0.81038282217404,0.195912792860174,-4.13644668295052,3.52725263361867e-05,0.00196187421235563
"ENSG00000003436.18",213.116367063017,-2.69687216555117,0.526542474893859,-5.12185112149748,3.02550729927391e-07,3.0812520504432e-05
"ENSG00000003509.18",255.474202637396,-0.689486345438553,0.31903888958695,-2.16113573593242,0.0306848558079674,0.269383286572199
"ENSG00000003756.19",404.526837257662,-0.261359945128116,0.277964839227295,-0.940262609669127,0.3470828736199,0.690157697523498
"ENSG00000003989.20",186.060209294929,0.284997180941665,0.732425516091499,0.389114216640783,0.69719165725165,0.873460044956946
"ENSG00000004059.13",211.544648956545,0.804028133902695,1.14705200059404,0.700951773316554,0.483333112571905,0.768140416730553
"ENSG00000004139.16",4.65763610027457,-1.05025210953619,1.21594784453361,-0.863731215329409,0.387735561627613,NA
"ENSG00000004142.14",493.562302280805,0.444498503847904,0.284788175423995,1.56080393150499,0.118570019546734,0.468432136594291
"ENSG00000004399.15",106.627557845191,-0.0217103736274297,0.336391842754211,-0.0645389419959647,0.948541100499688,0.980842015383558
"ENSG00000004455.20",1709.2498907928,-0.083838031550543,0.143850862509172,-0.58281215759271,0.560019759742907,0.80784156560363
"ENSG00000004468.15",1.16849420854638,1.77245245206339,2.0171839619257,0.878676652956986,0.379576621006207,NA
"ENSG00000004478.10",1125.56319514452,-0.392412314011533,0.254825224040595,-1.53992727952638,0.123578080400642,0.475024311915195
"ENSG00000004487.20",552.107700633469,0.358882707350698,0.32003278196437,1.12139358083214,0.262120367328728,0.629651066530366
"ENSG00000004534.17",185.410999291912,0.120079477254069,0.187594427262093,0.640101515842487,0.522106603590539,0.788750156648717
"ENSG00000004660.17",102.178027874628,1.67538503273846,0.507339114429358,3.30229817707412,0.000958960702291955,0.03072580929968
"ENSG00000004700.18",246.815465908793,-1.62466409242038,0.818159975947847,-1.98575356920655,NA,NA
"ENSG00000004766.19",91.9019626205509,0.539082865936467,0.341928528679894,1.57659516746889,0.114888705423371,0.462266564349962
"ENSG00000004776.15",5.2208100411748,0.912784412516231,0.892098200351336,1.02318826801438,0.306218838870295,0.66263411812121
"ENSG00000004777.20",29.2453670728902,-0.0142447083673715,1.26749582440566,-0.0112384657156965,0.991033190474721,0.996433754740807
